PassengerId,CryoSleep,Age,Transported,CabinNum,Luxuries,EdableLuxuries,Home_Earth,Home_Europa,Home_Mars,CF_A,CF_B,CF_C,CF_D,CF_E,CF_F,CF_G,CF_T,CL_P,CL_S
0017_01,0.0,0.0,True,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0017_02,0.0,14.0,False,6.0,1091.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0020_01,1.0,1.0,False,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0020_02,1.0,49.0,False,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0020_03,1.0,29.0,False,0.0,0.0,173.72916912197996,1,0,0,0,0,0,0,1,0,0,0,0,1
0020_04,0.0,10.0,True,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0020_05,1.0,1.0,False,0.0,224.687617481203,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0020_06,0.0,7.0,False,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0022_01,0.0,21.0,False,0.0,980.0,71.0,0,0,1,0,0,0,1,0,0,0,0,1,0
0024_01,1.0,62.0,True,2.0,0.0,173.72916912197996,0,1,0,0,0,1,0,0,0,0,0,0,1
0025_01,0.0,15.0,False,6.0,998.0,225.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0026_01,0.0,34.0,False,0.0,1788.0,6073.0,0,1,0,0,0,1,0,0,0,0,0,1,0
0028_01,0.0,43.0,False,8.0,1173.0,136.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0030_01,0.0,32.0,False,4.0,890.0,931.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0031_01,0.0,47.0,True,9.0,1443.0,1411.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0031_02,0.0,2.0,True,9.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0031_03,0.0,20.0,True,9.0,1214.687617481203,1750.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0034_01,1.0,28.0,True,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
0035_01,0.0,23.0,False,1.0,1735.0,964.0,0,0,1,0,0,0,1,0,0,0,0,1,0
0036_01,0.0,15.0,False,8.0,421.0,540.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0038_01,0.0,20.0,False,10.0,3160.0,195.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0039_01,1.0,30.0,False,1.0,0.0,173.72916912197996,1,0,0,0,0,0,0,0,0,1,0,1,0
0041_01,1.0,17.0,True,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0043_01,0.0,45.0,False,3.0,3366.0,209.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0044_01,1.0,55.0,False,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0044_02,1.0,4.0,True,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0044_03,1.0,21.0,True,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0045_01,0.0,21.0,False,10.0,1034.0,180.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0045_02,1.0,19.0,True,10.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0050_01,0.0,35.0,False,1.0,1101.1387779083432,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0051_01,0.0,56.0,False,2.0,1506.0,112.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0052_01,0.0,28.82793046746535,False,6.0,4687.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0053_01,0.0,25.0,True,11.0,1.0,1938.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0056_01,0.0,2.0,True,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0056_02,1.0,38.0,True,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0056_03,0.0,27.0,True,1.0,568.0,3979.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0058_01,1.0,36.0,False,7.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0061_01,0.0,22.0,False,12.0,1423.0,1244.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0062_01,0.0,62.0,False,13.0,42.0,592.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0064_01,1.0,15.0,True,14.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0064_02,1.0,33.0,True,3.0,0.0,173.72916912197996,1,0,0,0,0,0,0,1,0,0,0,0,1
0066_01,0.0,62.0,False,6.0,461.0,350.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0067_01,1.0,0.0,True,10.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0067_02,0.0,18.0,True,10.0,1.0,704.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0067_03,0.0,21.0,False,15.0,1970.0,37.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0068_01,0.0,28.82793046746535,False,4.0,1046.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0069_01,0.0,42.0,True,16.0,893.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0070_01,0.0,19.0,False,13.0,917.0,5.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0071_01,0.0,17.0,False,14.0,68.0,2165.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0072_01,0.0,14.0,False,17.0,1063.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0073_01,0.0,37.0,False,3.0,58.0,821.0,0,0,1,0,0,0,1,0,0,0,0,1,0
0074_01,0.0,42.0,True,3.0,507.0,8397.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0076_01,0.0,27.0,True,18.0,147.0,1018.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0077_01,0.0,28.0,True,15.0,14.0,1295.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0078_01,0.0,38.0,False,4.0,9975.0,5840.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0081_01,1.0,13.0,False,13.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0082_01,0.0,42.0,False,16.0,7406.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0082_02,1.0,2.0,True,16.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0082_03,0.0,8.0,True,16.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0084_01,0.0,24.0,True,14.0,705.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0085_01,1.0,40.0,True,5.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0086_01,0.0,43.0,False,17.0,1362.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0088_01,1.0,45.0,True,5.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0090_01,1.0,35.0,True,15.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0091_01,1.0,26.0,True,16.0,224.687617481203,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0091_02,0.0,27.0,False,20.0,189.0,728.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0092_01,0.0,19.0,False,9.0,35.0,670.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0092_02,1.0,0.0,True,9.0,0.0,173.72916912197996,1,0,0,0,0,0,0,0,0,1,0,1,0
0092_03,1.0,3.0,True,9.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0097_01,0.0,54.0,False,2.0,640.0,1208.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0098_01,0.0,26.0,False,11.0,32.0,861.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0098_02,0.0,26.0,True,11.0,87.0,3768.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0099_01,0.0,23.0,False,19.0,348.0,953.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0099_02,0.0,2.0,True,12.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0101_01,1.0,31.0,True,600.3676712973864,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0102_01,0.0,18.0,False,23.0,921.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0103_01,0.0,24.0,True,24.0,17.0,458.07720329024676,1,0,0,0,0,0,0,0,1,0,0,0,1
0103_02,1.0,9.0,True,18.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0103_03,1.0,6.0,False,18.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0105_01,0.0,27.0,False,21.0,133.0,570.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0107_01,0.0,21.0,False,2.0,1743.0,22.0,0,0,1,0,0,0,1,0,0,0,0,0,1
0108_01,1.0,23.0,False,19.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0108_02,0.0,31.0,False,19.0,562.0,326.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0108_03,0.0,0.0,True,19.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0110_01,0.0,32.0,False,600.3676712973864,4693.0,416.0,0,1,0,0,0,0,0,0,0,0,0,0,0
0110_02,0.0,40.0,False,5.0,1687.0,331.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0110_03,0.0,42.0,True,5.0,4522.0,11418.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0110_04,1.0,28.0,True,5.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0111_01,1.0,29.0,True,6.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1
0112_01,0.0,48.0,True,1.0,30.0,2624.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0113_01,0.0,64.0,True,23.0,0.0,804.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0114_01,0.0,27.0,False,20.0,321.0,586.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0115_01,0.0,26.0,True,24.0,304.8547912992357,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0116_01,0.0,33.0,True,4.0,417.0,2223.0,0,1,0,0,0,0,1,0,0,0,0,1,0
0119_01,0.0,39.0,False,0.0,6963.0,2344.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0119_02,1.0,13.0,True,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0
0120_01,1.0,24.0,True,25.0,304.8547912992357,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0122_01,0.0,29.0,False,21.0,773.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0123_01,0.0,18.0,False,27.0,56.0,646.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0126_01,1.0,67.0,True,27.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0127_01,0.0,35.0,False,7.0,726.0,296.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0128_01,0.0,61.0,False,3.0,2671.0,343.0,0,0,1,0,0,0,1,0,0,0,0,0,1
0128_02,0.0,45.0,False,8.0,2103.0,6.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0129_01,1.0,22.0,True,22.0,0.0,173.72916912197996,1,0,0,0,0,0,0,0,0,1,0,0,1
0133_01,1.0,19.0,True,29.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0133_02,0.0,36.0,False,5.0,2738.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1
0134_01,0.0,19.0,True,17.0,0.0,744.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0136_01,0.0,47.0,False,23.0,177.0,544.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0138_01,1.0,13.0,True,18.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0138_02,0.0,34.0,False,5.0,771.0,22.0,1,0,0,0,0,0,0,1,0,0,0,1,0
0139_01,1.0,35.0,True,6.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0140_01,1.0,24.0,True,19.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0140_02,0.0,26.0,False,29.0,902.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0141_01,0.0,31.0,False,30.0,224.687617481203,97.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0144_01,0.0,20.0,True,31.0,0.0,630.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0146_01,0.0,56.0,False,25.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0147_01,1.0,50.0,True,26.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0148_01,0.0,42.0,False,31.0,1148.0,10.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0149_01,1.0,28.82793046746535,True,27.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0151_01,1.0,38.0,False,20.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0152_01,0.0,41.0,False,32.0,607.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0160_01,0.0,22.0,False,22.0,4180.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0163_01,1.0,26.0,True,8.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0163_02,1.0,17.0,True,8.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0164_01,0.0,57.0,True,28.0,496.1387779083431,1688.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0164_02,1.0,17.0,False,28.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0165_01,1.0,35.0,True,37.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0167_01,1.0,13.0,True,35.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0167_02,0.0,27.0,False,35.0,1524.0,48.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0169_01,1.0,31.0,False,23.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0170_01,0.0,24.0,False,10.0,788.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0171_01,1.0,19.0,True,30.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0172_01,1.0,32.0,True,24.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0173_01,0.0,58.0,True,11.0,5.0,985.0,1,0,0,0,0,0,0,1,0,0,0,0,1
0174_01,0.0,21.0,False,38.0,577.0,16.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0177_01,0.0,38.0,False,2.0,17081.0,10347.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0178_01,0.0,38.0,False,6.0,3561.0,161.0,0,0,1,0,0,0,1,0,0,0,0,0,1
0179_01,0.0,19.0,True,26.0,14.0,892.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0179_02,0.0,0.0,False,26.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0179_03,0.0,3.0,True,26.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0181_01,0.0,20.0,False,27.0,391.0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0182_01,1.0,24.0,True,3.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0
0183_01,0.0,37.0,True,36.0,249.0,572.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0186_01,0.0,25.0,False,28.0,1018.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0188_01,1.0,56.0,True,31.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0189_01,0.0,49.0,False,8.0,384.0,404.0,1,0,0,0,0,0,0,1,0,0,0,1,0
0190_01,1.0,11.0,False,32.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0192_01,1.0,1.0,True,29.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0192_02,0.0,8.0,False,29.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0192_03,0.0,39.0,False,29.0,898.0,10.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0193_01,1.0,2.0,True,41.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0193_02,0.0,23.0,False,41.0,1296.687617481203,8.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0193_03,0.0,0.0,True,41.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0195_01,0.0,39.0,True,42.0,406.0,867.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0196_01,0.0,25.0,False,5.0,1059.0,719.0,0,0,1,0,0,0,1,0,0,0,0,1,0
0197_01,0.0,36.0,False,5.0,1370.0,972.0,0,1,0,0,0,1,0,0,0,0,0,1,0
0198_01,0.0,52.0,True,30.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0199_01,1.0,18.0,False,33.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0200_01,1.0,15.0,True,31.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0201_01,1.0,35.0,True,3.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0201_02,1.0,47.0,True,3.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0202_01,1.0,45.0,True,9.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0202_02,0.0,28.82793046746535,True,2.0,1321.0,2606.72916912198,0,1,0,1,0,0,0,0,0,0,0,1,0
0203_01,1.0,51.0,True,8.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0205_01,0.0,29.0,False,34.0,705.0,68.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0206_01,0.0,28.82793046746535,True,9.0,1249.0,1732.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0207_01,1.0,19.0,False,32.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0210_01,1.0,24.0,True,6.0,0.0,173.72916912197996,1,0,0,0,0,0,1,0,0,0,0,1,0
0211_01,0.0,29.0,True,44.0,902.0,138.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0211_02,1.0,11.0,True,44.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0211_03,0.0,17.0,False,44.0,1030.0,307.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0212_01,0.0,13.0,False,9.0,982.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0
0212_02,0.0,35.0,False,45.0,544.0,188.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0213_01,0.0,21.0,False,46.0,513.0,281.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0216_01,0.0,21.0,False,40.0,1918.0,56.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0217_01,0.0,38.0,False,47.0,1544.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0219_01,1.0,19.0,True,36.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0220_01,1.0,2.0,True,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0220_02,0.0,0.0,True,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0220_03,1.0,13.0,False,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0220_04,0.0,25.0,False,10.0,122.0,257.72916912197996,1,0,0,0,0,0,0,1,0,0,0,1,0
0220_05,0.0,16.0,False,48.0,1099.0,3.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0220_06,0.0,1.0,False,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0220_07,1.0,15.0,True,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0221_01,0.0,21.0,False,13.0,2237.0,119.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_02,0.0,23.0,False,13.0,1217.0,81.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_03,0.0,33.0,False,13.0,1934.0,200.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_04,1.0,21.0,True,13.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_05,0.0,41.0,False,13.0,2296.0,301.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_06,0.0,16.0,False,13.0,1149.0,221.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0221_07,1.0,42.0,False,13.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0222_01,0.0,20.0,False,41.0,1417.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0222_02,1.0,24.0,True,41.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0222_03,1.0,16.0,True,14.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1
0223_01,0.0,21.0,False,35.0,9.0,667.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0224_01,0.0,32.0,False,42.0,1815.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0225_01,1.0,58.0,True,38.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0229_01,0.0,24.0,False,43.0,796.0,7.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0231_01,0.0,30.0,False,44.0,1805.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0232_01,1.0,27.0,False,36.0,0.0,458.07720329024676,1,0,0,0,0,0,0,0,0,1,0,0,1
0233_01,0.0,32.0,False,45.0,1494.0,256.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0234_01,0.0,43.0,False,50.0,224.687617481203,888.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0237_01,1.0,42.0,True,11.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0239_01,0.0,37.0,False,600.3676712973864,1048.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0240_01,1.0,35.0,True,52.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0241_01,0.0,33.0,False,11.0,5928.0,1249.0,0,1,0,0,0,0,0,1,0,0,0,1,0
0242_01,0.0,18.0,False,46.0,596.0,692.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0243_01,1.0,21.0,False,37.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0244_01,1.0,43.0,True,600.3676712973864,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0244_02,1.0,14.0,True,47.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0245_01,0.0,46.0,True,6.0,7.0,3571.0,0,1,0,0,0,1,0,0,0,0,0,1,0
0245_02,0.0,33.0,False,6.0,11496.0,882.0,0,1,0,0,0,1,0,0,0,0,0,1,0
0246_01,0.0,21.0,False,8.0,2974.0,287.0,0,0,1,0,0,0,1,0,0,0,0,1,0
0248_01,0.0,33.0,False,10.0,9683.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1
0250_01,1.0,47.0,False,38.0,224.687617481203,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0251_01,1.0,54.0,True,11.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1
0252_01,0.0,30.0,False,53.0,335.0,1236.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0253_01,0.0,29.0,False,42.0,273.0,615.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0254_01,0.0,21.0,True,54.0,710.0,580.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0255_01,1.0,24.0,True,3.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0257_01,0.0,21.0,False,49.0,1664.0,173.72916912197996,0,0,1,0,0,0,0,0,1,0,0,0,1
0257_02,1.0,60.0,True,49.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1
0258_01,0.0,22.0,False,50.0,391.0,313.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0260_01,0.0,26.0,False,16.0,3035.0,4810.0,0,1,0,0,0,0,0,1,0,0,0,0,1
0261_01,0.0,26.0,False,56.0,869.0,29.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0263_01,1.0,28.0,True,43.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0265_01,1.0,39.0,True,8.0,311.1387779083431,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
0267_01,0.0,13.0,False,51.0,873.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0269_01,0.0,47.0,True,52.0,0.0,823.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0270_01,0.0,63.0,False,59.0,1240.0,153.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0275_01,1.0,28.82793046746535,True,9.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
0277_01,0.0,50.0,True,61.0,97.0,2390.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0278_01,0.0,35.0,False,600.3676712973864,1192.8547912992358,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0278_02,0.0,45.0,False,45.0,347.0,97.0,1,0,0,0,0,0,0,0,0,1,0,1,0
0281_01,0.0,19.0,True,63.0,0.0,2078.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0282_01,0.0,21.0,True,54.0,0.0,918.0,1,0,0,0,0,0,0,0,1,0,0,0,1
